942 2788
397 653 634
718 254 313
665 218 257
634 614 143
508 777 900
778 391 924
114 104 820
743 153 537
211 762 523
938 423 271
706 676 82
18 553 356
434 257 777
354 158 682
329 712 166
933 102 721
789 820 134
595 673 197
652 787 866
744 761 832
95 463 38
38 607 96
392 884 742
314 800 939
159 179 188
721 894 137
219 689 560
535 612 694
864 630 990
339 48 770
97 31 403
821 396 197
149 76 719
269 824 396
356 794 43
820 265 145
189 655 642
717 892 635
633 560 85
812 749 700
916 760 19
782 467 207
86 896 351
154 811 908
170 144 441
646 389 564
781 739 154
154 151 776
76 443 621
780 92 83
520 798 860
550 937 767
772 774 927
793 51 810
715 496 916
683 883 934
391 361 334
568 625 850
557 851 859
440 49 439
632 161 785
423 273 70
730 252 715
24 762 554
219 606 846
694 33 428
415 938 643
924 927 880
284 765 160
538 363 235
329 147 961
559 937 606
377 21 591
8 185 951
11 731 531
870 586 198
633 91 790
588 942 698
2 310 213
657 594 47
418 297 280
894 861 212
415 476 471
675 601 401
370 608 733
510 51 927
667 859 589
329 533 47
542 586 623
99 57 887
245 799 110
190 433 60
873 532 668
539 737 952
836 424 127
336 351 861
938 504 836
246 829 479
225 855 976
572 538 215
466 820 403
829 919 899
932 649 532
794 564 860
906 342 900
47 648 592
899 659 953
34 597 245
188 926 563
124 697 234
126 141 943
854 923 143
729 251 30
525 195 903
215 655 18
525 554 862
103 447 885
744 8 910
703 67 357
435 101 868
265 222 57
853 77 645
181 338 706
551 770 855
440 598 110
857 402 50
865 732 225
497 724 658
426 506 324
115 454 598
157 759 226
6 939 938
638 121 731
879 896 950
231 850 743
749 174 496
422 391 864
578 265 533
916 466 897
519 763 664
87 369 505
474 590 734
403 552 221
385 81 337
189 297 542
842 297 801
702 415 674
332 703 315
284 22 191
188 342 109
129 111 388
318 362 201
418 824 228
478 722 525
159 83 300
921 115 911
132 223 150
107 128 658
488 560 747
786 881 585
216 184 649
933 9 233
734 121 102
907 107 178
925 467 458
154 96 275
283 568 472
382 8 226
782 672 992
929 899 991
120 97 655
367 263 636
614 135 72
294 269 636
533 320 133
157 239 942
296 203 594
856 49 966
812 803 83
119 502 872
711 766 524
8 439 130
932 355 441
115 174 485
711 778 852
613 754 584
149 10 477
893 63 496
695 473 805
735 343 659
916 528 777
915 753 312
707 915 786
12 871 39
763 786 401
411 501 670
452 762 714
337 50 772
49 89 457
885 236 63
202 446 423
367 254 326
408 451 401
4 579 28
178 536 963
21 707 131
349 196 378
639 880 35
924 811 274
103 907 422
37 823 841
728 810 269
683 753 930
26 566 266
408 128 236
131 864 337
834 446 434
242 661 968
497 51 621
166 896 792
628 173 243
346 63 177
901 276 295
332 188 255
311 638 550
571 783 275
676 272 142
877 716 809
69 385 827
133 650 729
51 106 732
95 633 639
493 237 445
245 709 768
238 635 265
139 925 715
42 855 822
353 531 506
201 19 228
337 727 121
322 723 476
795 362 972
116 112 722
532 393 788
365 441 362
121 190 840
149 360 268
248 772 442
862 373 342
249 501 850
673 598 930
247 497 398
567 648 446
521 806 2
342 548 544
643 706 150
774 731 315
61 44 768
549 613 738
358 45 884
351 848 398
638 535 218
875 928 148
413 752 703
776 274 812
553 718 654
260 806 280
171 266 636
279 833 193
229 739 725
942 347 691
473 729 291
897 507 670
473 163 41
475 736 933
237 823 500
16 461 373
312 127 765
540 17 867
388 259 644
729 891 215
716 734 14
231 495 777
779 599 948
670 96 79
882 180 37
270 477 129
41 323 418
461 382 41
618 204 46
348 266 409
856 395 284
193 385 419
800 396 502
788 842 302
375 625 1
904 555 769
410 796 555
130 369 73
486 125 987
891 93 967
227 377 378
49 198 325
707 600 367
455 887 342
797 211 749
459 12 313
87 776 929
232 132 730
396 318 385
137 118 247
609 218 872
453 270 599
888 516 709
774 232 343
776 202 562
437 485 145
343 331 240
935 531 626
927 431 244
588 452 938
504 839 45
62 210 637
917 3 348
675 437 814
581 307 760
657 334 116
156 640 535
157 146 701
720 663 520
376 666 45
588 77 978
555 930 61
813 335 977
410 107 89
609 244 253
186 172 179
660 85 417
659 829 278
400 473 91
626 462 824
745 670 355
760 803 36
464 251 959
171 205 295
133 929 940
601 577 582
123 871 919
255 207 360
783 528 322
136 238 185
202 235 153
282 203 382
730 383 984
34 881 884
518 651 740
141 260 208
759 809 467
405 21 175
242 111 485
46 192 493
141 857 506
628 596 89
852 122 51
503 395 55
352 362 701
736 243 329
414 638 842
451 839 923
113 646 76
768 150 922
860 872 221
627 559 825
454 926 879
406 359 143
156 284 350
541 166 896
523 101 932
690 157 486
274 289 517
234 878 420
735 933 192
376 453 921
17 781 940
177 765 34
912 480 223
732 4 273
440 338 892
153 858 124
471 205 458
337 786 385
619 143 976
324 416 64
437 114 501
844 630 848
748 426 485
406 902 853
116 356 947
616 716 475
49 270 325
741 687 828
29 862 875
626 797 898
646 595 774
879 1 639
934 490 425
175 249 198
681 143 178
798 331 422
710 44 246
311 352 996
544 622 787
344 169 837
205 471 647
640 646 451
499 864 326
577 741 729
830 24 834
89 126 773
568 309 65
300 519 50
447 44 839
149 240 731
254 756 926
16 349 109
769 258 838
819 27 124
284 42 476
509 444 806
244 481 956
257 654 331
635 523 941
635 774 500
682 931 828
722 518 894
698 881 378
437 764 112
500 57 317
140 137 978
359 238 143
646 364 919
247 784 436
138 797 501
283 843 677
632 213 390
516 751 538
593 244 175
66 100 936
417 441 76
927 791 277
257 75 564
776 752 312
49 81 595
621 581 49
146 142 921
265 190 87
832 478 935
675 752 896
425 673 63
665 14 105
612 382 693
793 59 273
91 738 210
783 7 526
652 419 323
172 375 218
325 206 187
409 547 389
261 126 830
690 191 525
745 699 238
720 803 493
348 696 669
822 72 274
911 132 298
206 501 368
75 485 518
919 349 514
445 918 838
83 534 370
185 494 815
505 508 15
110 161 778
30 549 960
914 707 164
98 655 480
339 80 648
800 522 110
843 610 60
430 826 810
328 390 641
319 169 294
449 492 476
874 440 850
922 791 619
218 884 611
111 420 962
695 409 89
214 478 239
731 572 967
214 670 75
235 347 110
146 59 281
244 605 748
433 290 831
532 691 105
695 61 98
364 621 249
718 407 931
139 906 23
858 734 894
614 173 790
14 657 473
586 405 133
757 691 269
461 903 322
132 884 526
521 722 904
934 727 424
103 71 875
840 483 626
624 43 717
770 103 497
323 447 551
507 837 874
109 662 263
715 644 58
517 629 426
318 389 38
655 548 204
149 599 326
236 549 569
536 384 487
792 204 603
513 342 315
515 253 981
19 1 133
297 148 119
826 473 373
662 202 41
343 911 140
111 268 358
429 335 298
710 865 134
528 888 725
57 368 819
880 118 720
156 75 690
327 162 404
787 422 598
71 721 85
350 481 990
723 438 361
163 736 253
404 814 123
848 63 501
274 137 28
659 799 283
867 893 845
12 635 781
759 734 491
676 352 386
368 564 771
780 531 710
338 670 941
343 139 640
19 428 916
354 325 357
350 355 886
165 489 612
462 636 474
527 281 472
289 1 19
177 194 789
36 251 775
291 245 84
706 224 744
815 868 540
391 409 880
245 680 648
532 534 89
232 516 440
701 692 792
685 30 615
110 32 703
607 669 861
845 153 308
338 187 681
113 236 786
196 480 300
70 222 159
92 118 179
559 879 148
312 495 421
259 358 815
129 435 546
483 363 725
703 337 281
891 549 688
632 777 104
41 717 737
910 111 639
115 904 642
876 637 422
437 705 458
764 496 379
653 151 972
384 285 381
196 241 30
832 351 190
10 64 579
784 932 287
719 199 484
202 457 834
770 231 66
345 850 968
509 288 51
859 852 631
561 115 217
652 605 420
888 522 42
435 651 470
226 65 508
12 361 678
697 269 546
325 527 274
202 795 788
61 690 700
80 553 882
491 717 468
674 773 180
935 413 746
697 243 21
779 717 610
11 106 378
648 138 646
481 370 654
229 9 223
564 426 986
675 222 385
835 800 387
702 611 512
158 521 182
603 904 346
639 586 246
301 493 380
689 772 101
180 26 884
307 40 479
675 329 761
626 208 414
166 306 986
441 78 242
567 900 324
503 929 186
875 310 120
118 429 596
34 171 173
369 210 283
426 400 526
155 908 506
888 875 656
756 236 35
113 154 18
6 672 601
30 526 661
670 94 503
277 633 197
308 551 898
201 892 282
388 501 509
911 553 443
861 626 827
823 779 507
500 251 847
910 698 147
322 387 574
14 34 415
543 503 534
750 422 265
365 812 339
641 767 907
225 392 45
114 155 116
163 488 315
348 200 434
592 566 370
751 241 471
919 481 418
792 654 131
829 639 756
939 839 923
761 360 862
23 360 15
304 864 782
518 883 55
880 827 70
743 876 455
68 789 481
200 297 256
574 824 614
321 203 793
941 680 267
857 370 539
209 781 236
656 563 585
24 10 86
569 188 296
64 818 940
445 919 581
620 605 760
384 640 109
366 348 933
697 360 350
806 775 446
617 768 780
655 368 481
33 339 795
697 229 884
335 402 664
296 111 819
919 372 906
829 399 406
226 195 716
354 181 933
519 938 243
798 811 388
731 325 600
351 241 738
30 485 197
51 264 718
644 938 493
876 343 666
1 38 530
727 135 621
655 248 925
30 390 233
885 493 347
561 223 742
443 110 460
596 4 583
582 53 592
383 449 974
591 755 30
941 579 732
429 213 119
508 679 382
440 872 911
29 696 96
371 495 740
652 181 681
2 456 125
289 664 289
581 823 825
779 741 655
707 389 803
172 613 511
493 317 128
156 355 463
759 97 144
267 782 280
942 341 805
432 396 530
806 618 279
663 120 713
139 773 400
118 867 408
761 563 648
298 491 866
46 187 98
376 838 820
688 50 676
504 698 360
242 34 196
794 774 474
905 883 472
619 107 226
322 280 596
386 843 38
301 201 594
602 797 996
605 573 61
821 545 865
95 710 457
810 191 932
267 367 692
250 627 59
385 547 986
415 522 597
635 745 623
262 452 972
95 389 734
378 175 163
682 34 30
464 348 806
103 792 663
3 30 342
469 383 609
582 327 524
712 738 950
193 939 257
288 445 924
764 173 575
880 278 162
296 100 25
565 273 180
754 781 660
393 585 132
88 153 524
660 97 509
466 594 977
606 175 724
643 257 560
216 546 983
751 283 281
159 519 259
882 512 228
769 83 817
824 607 356
348 763 766
227 886 285
212 876 337
34 89 145
80 892 38
807 463 216
384 91 792
243 5 69
307 383 954
347 168 812
430 12 700
328 96 388
777 230 976
141 308 369
812 310 745
445 118 221
11 411 690
17 610 608
747 290 252
763 580 209
127 741 589
108 77 343
155 140 277
533 163 156
296 403 372
714 402 664
491 556 344
638 257 865
173 494 826
95 304 2
759 506 226
70 53 293
793 809 535
330 32 285
853 606 231
161 856 356
783 61 863
70 204 860
315 60 361
233 3 168
214 201 668
160 53 496
426 774 204
657 180 344
114 415 297
465 117 141
427 499 830
171 52 386
792 110 849
308 861 928
122 756 634
70 480 923
687 214 766
856 330 595
569 874 185
326 523 112
719 920 530
504 68 838
71 368 628
484 305 450
776 678 798
383 359 800
36 780 31
600 51 717
867 803 789
541 80 909
913 517 669
590 802 802
169 86 35
178 400 984
419 708 888
108 10 324
862 829 646
363 187 926
222 253 803
150 682 676
596 484 264
786 726 873
701 746 765
785 16 555
751 490 712
866 886 750
806 733 758
910 659 152
426 41 328
634 234 249
393 53 997
588 224 561
413 857 26
638 572 587
520 190 825
732 715 68
836 869 777
300 723 426
857 599 642
895 17 747
433 473 133
147 366 380
94 626 726
729 677 505
658 508 811
272 659 76
904 393 133
566 827 125
807 76 288
302 156 218
199 779 11
870 703 551
11 122 266
579 120 605
324 605 154
745 133 757
878 426 258
38 801 710
820 458 68
710 735 912
456 435 73
581 202 741
533 348 559
871 293 187
731 546 336
758 304 850
33 473 21
83 259 435
462 40 455
366 434 220
896 928 159
874 485 765
568 320 349
107 344 144
117 391 362
332 888 783
865 755 406
150 910 501
42 584 784
165 852 432
349 43 948
791 924 415
345 178 86
161 338 770
331 94 933
279 354 809
522 831 678
869 548 13
934 510 871
591 929 486
237 287 63
95 519 447
23 842 186
554 76 24
429 829 473
721 908 746
459 83 244
242 561 624
684 841 609
916 942 691
697 626 344
600 338 78
326 445 592
219 410 127
717 567 821
190 626 351
30 601 229
864 200 263
865 12 607
523 438 27
842 461 502
609 118 799
585 891 809
456 826 513
360 546 851
491 446 561
639 205 793
649 857 117
685 202 76
201 906 766
217 74 437
319 238 686
740 689 314
733 934 75
110 448 958
19 749 861
425 459 64
131 319 990
809 693 15
198 477 62
719 363 729
558 114 725
730 666 906
738 390 367
625 680 247
169 746 154
584 70 770
544 197 866
67 389 869
58 593 942
18 430 877
712 495 793
390 115 345
665 384 83
653 807 154
580 837 308
470 75 754
670 798 234
241 435 748
102 729 430
505 712 443
322 658 56
625 480 506
42 224 296
241 366 694
203 650 939
286 707 576
25 194 291
521 490 366
921 661 657
292 782 843
657 35 158
849 910 421
425 728 484
838 296 244
157 506 190
519 684 301
801 538 192
485 529 511
352 319 103
401 163 392
57 494 200
858 287 58
357 891 508
506 893 671
574 793 395
934 761 840
658 92 625
721 569 454
394 416 64
786 914 72
302 880 777
200 600 732
221 344 287
629 799 548
814 572 572
172 150 590
687 494 927
180 322 799
104 679 425
656 664 218
74 334 402
246 599 32
477 823 765
590 846 87
241 61 892
42 360 569
121 567 592
545 466 647
169 68 928
267 742 58
742 492 942
57 157 207
861 404 474
653 317 470
321 614 229
313 485 131
940 539 205
599 125 534
930 135 335
575 258 762
647 13 990
335 857 842
28 841 236
463 178 973
221 69 21
33 850 722
868 900 89
111 349 79
487 907 211
532 136 82
187 515 78
777 598 666
534 717 162
845 172 136
867 936 912
650 232 194
37 122 990
588 156 447
574 170 146
592 626 469
148 649 877
1 270 380
313 16 84
161 169 572
178 702 724
409 366 917
740 158 23
604 204 331
424 556 87
511 499 934
127 762 308
420 163 803
862 351 714
764 497 55
469 648 766
370 932 792
916 501 971
49 554 38
83 763 532
897 592 520
616 9 721
712 160 943
110 120 490
580 681 438
564 695 458
321 22 257
899 886 301
716 429 274
315 837 917
615 882 525
927 814 960
491 610 785
700 856 627
137 640 805
292 705 506
919 12 741
131 508 717
123 33 971
292 454 558
754 708 929
690 236 618
43 97 249
807 805 274
533 119 883
120 808 301
726 508 552
845 894 962
233 47 802
330 640 562
223 484 558
256 860 230
810 591 534
245 779 756
729 184 392
820 244 943
895 235 370
557 655 617
887 678 712
208 763 48
350 499 937
765 646 552
41 597 75
226 536 969
238 44 812
144 44 144
571 182 387
567 205 331
892 228 44
887 92 420
291 375 845
252 258 585
736 450 242
269 363 897
165 112 38
722 541 661
723 423 664
656 870 233
686 456 912
348 886 9
209 901 158
465 733 831
641 123 158
505 172 49
504 865 36
311 910 237
84 900 927
455 74 989
358 340 170
302 521 895
388 749 827
804 241 830
282 450 82
871 850 390
716 424 712
884 182 739
781 281 172
664 586 451
248 246 290
227 218 434
270 269 485
23 45 911
853 531 429
543 343 837
442 161 618
772 923 429
405 77 467
458 906 723
178 687 957
462 820 327
728 811 675
255 215 505
34 909 77
626 24 995
869 441 621
651 7 250
170 21 371
302 642 983
187 50 389
928 471 278
618 571 104
157 401 262
664 572 967
330 100 834
63 574 224
859 219 592
742 775 431
548 292 461
126 784 216
155 791 493
937 248 365
239 493 509
180 60 262
160 906 457
445 125 270
664 46 699
512 378 842
585 296 218
905 415 344
792 914 176
530 561 947
640 134 724
242 651 694
393 588 290
93 609 600
231 758 732
802 335 859
362 676 369
71 790 132
38 56 420
899 730 549
722 126 94
848 181 163
281 812 517
461 920 886
313 387 952
688 314 386
349 921 939
642 886 208
797 132 342
302 819 145
423 820 807
191 572 668
174 217 632
646 510 314
404 928 502
329 670 736
497 749 900
666 98 619
706 114 4
486 219 869
91 665 261
903 309 230
678 615 68
409 595 553
294 168 545
66 889 498
217 661 3
437 814 733
613 475 907
242 801 625
670 796 113
672 676 289
453 36 879
779 912 18
97 899 280
288 121 660
543 869 317
89 840 99
524 311 682
284 438 471
505 602 701
392 117 120
726 766 832
624 216 414
428 661 547
602 312 346
203 648 106
618 162 219
109 126 571
558 385 428
935 556 665
550 789 498
565 116 824
827 275 344
731 115 191
749 903 483
143 470 181
509 869 905
19 783 241
185 886 332
631 33 4
585 45 943
926 268 671
894 69 239
693 126 532
810 674 176
658 771 276
406 361 564
585 717 808
438 114 414
33 747 433
571 736 813
788 249 294
242 862 876
812 298 109
229 297 670
708 232 710
77 715 197
602 825 362
517 364 128
928 791 527
104 910 939
195 136 725
561 350 607
53 608 468
582 696 225
311 72 659
549 308 894
556 884 507
186 764 19
430 891 363
770 572 236
400 792 116
534 838 937
451 784 25
644 742 534
84 688 754
738 348 686
37 544 251
360 78 372
128 757 380
341 679 360
777 89 981
313 831 369
551 416 538
383 489 56
609 172 923
284 364 865
672 467 623
525 401 896
456 200 83
874 214 913
715 305 134
49 397 902
475 700 340
456 540 442
730 520 124
363 726 838
904 779 481
322 868 841
374 855 669
185 228 510
638 304 803
123 811 557
194 633 199
489 204 344
491 165 543
215 169 24
207 342 352
787 353 721
126 487 908
114 396 101
167 284 386
215 556 519
215 188 814
586 107 48
260 827 205
54 330 343
627 809 85
893 69 90
309 454 522
706 866 918
689 491 507
461 788 801
180 868 326
638 2 255
189 849 707
328 784 51
311 631 666
229 882 566
579 230 596
331 250 652
240 726 849
52 850 675
646 335 859
927 435 955
891 287 68
254 538 527
829 207 36
263 626 960
467 819 301
160 715 163
70 37 581
667 589 218
102 192 776
885 317 808
566 456 649
611 308 338
742 384 404
746 134 724
427 208 74
193 683 1000
228 826 1000
863 900 547
801 842 907
201 519 369
316 585 372
341 59 5
93 845 916
466 121 586
457 897 50
180 647 275
204 201 898
479 902 9
845 112 235
934 519 672
100 269 384
397 256 629
490 541 115
61 797 801
287 240 442
453 688 338
789 265 334
425 450 376
40 616 200
585 363 673
835 800 281
716 726 693
550 316 847
304 196 796
731 48 953
334 252 775
372 551 399
747 517 443
221 792 633
294 793 196
906 830 378
366 221 874
856 534 178
597 291 125
9 269 776
817 590 549
725 846 658
17 56 556
587 369 220
647 820 340
669 656 941
590 547 495
346 647 390
297 895 450
360 582 876
85 872 297
227 240 629
930 816 668
856 405 43
113 56 89
791 285 157
504 667 852
398 47 240
428 266 781
287 579 154
233 104 440
761 529 875
313 599 326
734 580 452
402 267 174
383 150 358
814 580 485
63 863 199
498 349 734
64 298 306
89 73 72
522 815 520
735 837 744
619 50 624
299 198 928
20 759 585
602 185 720
736 221 731
317 938 399
4 310 195
215 96 757
241 392 578
186 681 489
416 585 858
183 531 76
791 940 304
17 390 892
359 750 581
397 447 913
138 160 774
477 572 147
332 820 986
233 906 748
603 794 185
781 146 508
429 323 988
367 829 841
321 883 205
745 879 778
36 593 492
309 620 789
312 32 388
922 728 664
188 618 374
113 388 692
825 532 331
672 262 1
413 926 234
337 532 202
900 24 676
905 398 471
36 549 754
420 268 71
775 729 996
321 848 815
293 671 278
156 716 907
912 924 668
160 364 462
150 584 730
940 810 571
746 249 150
143 495 788
18 290 975
795 549 763
601 46 882
168 765 663
604 171 783
837 579 886
497 247 855
426 816 835
122 432 904
316 43 306
855 363 14
378 73 38
766 418 907
270 240 191
20 421 924
50 355 86
458 663 865
603 801 545
99 390 491
267 631 486
703 409 178
382 168 807
433 845 128
178 16 867
57 870 108
657 646 387
721 919 345
350 296 889
677 351 571
264 878 526
13 3 285
562 697 470
765 851 796
587 283 191
511 111 538
865 10 406
211 121 44
626 627 482
185 605 129
1 282 209
383 122 271
222 930 213
482 350 657
512 854 115
190 71 156
341 480 909
758 401 396
429 128 282
893 135 245
480 65 742
153 106 45
499 751 766
652 364 782
617 611 316
580 178 643
738 742 588
548 739 52
936 4 426
397 937 596
942 393 496
763 248 395
498 586 119
18 160 591
434 93 546
516 764 475
420 725 436
761 397 436
244 16 916
745 305 991
653 908 539
891 734 361
451 642 686
457 635 53
3 291 176
251 151 517
121 544 593
862 167 45
781 564 282
476 637 631
289 50 813
777 405 232
36 867 882
744 424 779
2 263 191
126 478 215
282 611 887
673 230 390
73 193 144
606 759 879
208 426 232
715 207 306
338 447 373
716 634 41
545 775 378
298 684 241
477 666 860
315 469 507
164 731 594
274 504 676
114 936 51
764 726 484
103 665 695
832 375 348
735 568 217
222 115 323
476 935 176
77 468 725
745 591 937
103 838 816
419 108 570
244 99 45
590 364 308
515 885 691
322 564 616
824 108 346
891 748 731
571 898 714
502 85 578
313 561 77
559 104 109
321 836 861
901 604 218
683 434 807
572 137 666
851 797 174
626 881 621
921 457 598
117 442 856
24 640 863
567 315 674
44 475 175
255 408 724
468 928 704
169 882 858
562 566 854
919 247 944
445 319 930
539 319 622
606 364 723
116 67 378
892 511 801
322 11 450
254 875 933
912 174 865
659 258 582
606 723 473
361 398 717
448 404 499
874 24 760
881 124 725
295 253 670
800 866 700
640 552 536
470 21 772
881 49 429
239 804 315
77 624 620
320 448 368
798 844 969
885 485 396
678 294 217
424 13 984
403 315 794
334 670 662
500 529 496
875 388 489
691 582 468
600 597 852
65 112 845
853 753 25
471 444 972
90 72 62
909 4 688
538 176 630
467 41 677
487 308 543
737 596 591
467 255 98
810 679 628
766 4 316
446 602 777
352 932 708
227 774 532
614 367 211
536 401 165
699 74 808
342 766 715
280 298 788
30 363 883
433 748 276
189 562 955
800 875 535
711 919 356
143 142 246
764 80 808
763 868 237
591 353 133
466 816 10
754 130 74
392 803 873
9 428 837
766 25 975
881 825 299
308 563 782
434 469 487
457 276 237
5 794 356
210 323 330
502 919 174
360 937 506
703 74 606
890 698 967
569 813 17
381 634 295
456 316 778
882 439 699
475 940 976
770 553 280
264 399 587
126 214 728
383 438 336
148 655 490
443 385 802
722 144 348
142 509 353
200 112 585
93 559 343
690 707 120
432 891 176
626 832 692
864 121 240
389 287 539
303 226 948
482 215 311
62 636 710
502 570 790
118 345 691
843 111 623
790 137 746
801 88 415
19 837 785
743 447 104
634 149 370
722 668 992
64 61 396
936 416 352
199 684 429
247 415 826
264 589 155
717 540 951
663 329 768
182 296 379
354 599 482
254 787 36
194 904 983
87 441 420
785 322 390
231 247 835
205 820 773
413 143 495
813 934 76
79 91 534
921 419 632
226 469 542
341 551 946
589 637 69
694 800 82
650 629 473
307 615 926
115 300 649
394 524 965
359 122 405
753 539 958
252 315 751
739 413 507
755 89 673
4 363 663
537 81 529
360 235 948
610 288 263
497 729 32
398 870 645
455 503 189
466 523 383
505 817 891
305 22 448
901 168 822
298 684 98
757 432 128
6 544 436
802 174 132
711 726 579
841 124 142
315 367 441
612 63 933
410 390 916
785 889 771
118 368 169
483 374 609
504 525 498
411 155 114
35 432 48
853 586 460
933 715 231
171 710 866
43 560 760
193 371 802
19 894 471
288 391 960
216 832 451
601 511 978
93 717 416
188 512 804
387 33 809
628 503 175
681 15 240
325 449 503
910 104 313
295 405 338
91 83 712
781 421 963
761 614 300
312 474 226
895 243 407
599 743 167
725 797 234
64 842 441
732 188 370
911 159 269
311 49 176
125 426 678
87 502 185
638 445 757
108 442 307
615 694 618
558 707 708
176 230 303
397 804 211
429 190 288
315 480 27
239 470 623
226 714 849
311 770 254
734 451 851
270 25 224
29 431 525
305 802 278
815 917 252
61 682 11
270 387 628
938 407 939
849 449 382
444 104 706
73 169 739
196 126 663
207 508 560
578 429 186
632 610 517
641 26 656
79 262 748
813 306 304
402 751 305
852 301 971
497 188 800
643 292 884
786 132 807
849 821 88
196 576 759
65 677 310
689 736 890
244 267 658
672 391 989
496 377 984
358 350 481
663 315 447
367 785 998
349 623 403
454 302 240
391 785 975
940 326 268
69 616 658
874 434 208
188 430 398
806 635 858
89 902 820
527 795 154
588 285 372
200 295 841
666 457 188
388 352 812
598 129 367
157 285 717
199 269 598
500 341 45
180 863 515
516 687 829
194 366 906
116 491 127
692 578 62
492 118 958
454 371 198
300 499 498
707 630 969
51 621 749
785 171 333
638 409 474
316 320 428
910 113 520
254 922 728
405 618 858
671 32 593
866 526 991
832 827 321
450 320 187
185 725 141
481 521 42
917 696 60
243 533 746
565 207 18
372 817 663
477 46 863
933 441 85
258 206 123
127 468 635
207 550 162
912 610 622
397 850 560
321 353 47
562 606 421
21 248 256
463 148 604
327 940 248
169 462 536
636 769 133
551 10 673
878 174 174
226 827 168
186 67 326
507 777 394
621 654 828
105 134 565
442 901 57
82 509 262
175 693 564
810 853 720
797 368 411
463 937 896
586 372 35
348 86 576
23 926 901
415 812 460
835 173 856
226 492 784
436 49 48
417 799 947
634 856 394
285 299 895
603 865 877
334 910 179
333 376 109
823 693 839
834 909 965
266 912 352
818 335 8
423 729 44
906 765 670
678 942 312
641 849 320
779 632 551
292 248 871
60 341 827
627 64 342
793 830 668
94 97 485
376 83 152
904 240 958
25 627 256
249 82 27
19 158 46
552 371 773
95 788 949
305 294 70
15 491 28
857 794 643
552 703 216
176 681 958
933 164 600
680 693 37
903 145 780
27 686 243
629 937 398
789 578 394
81 597 389
301 899 501
575 311 765
674 771 799
775 74 119
901 412 517
291 414 872
626 135 97
727 204 176
402 625 361
916 170 256
236 7 410
325 757 989
173 21 657
864 609 295
369 426 822
818 830 724
666 598 813
395 602 508
271 551 276
147 570 800
583 44 500
578 838 213
612 792 226
702 191 550
218 110 479
757 765 621
261 53 300
130 602 913
670 930 341
127 312 488
237 822 698
470 718 592
26 809 424
671 448 812
279 93 402
637 236 342
586 593 406
236 673 72
529 163 365
714 270 328
756 332 405
359 891 581
365 710 854
361 232 163
406 867 967
318 120 751
144 729 180
671 700 47
626 848 919
293 637 308
390 703 137
719 168 968
580 631 121
923 559 951
164 575 933
95 137 734
408 726 851
628 452 285
478 282 761
854 392 386
697 765 688
328 576 604
497 30 171
344 128 893
233 829 714
326 415 250
902 327 447
699 635 107
622 888 423
107 311 882
150 621 157
177 289 875
839 237 326
527 445 971
314 484 370
368 403 96
633 74 163
232 200 590
86 543 339
490 152 581
766 48 190
657 649 616
914 367 530
328 133 404
742 168 909
133 798 721
795 31 596
380 425 156
75 886 328
597 223 629
301 366 284
377 346 384
342 876 446
43 598 32
680 472 95
704 419 592
228 814 109
